pub_id,pmid,doi,title,author_count,all_authors,journal,year,volume,issue,pages,publication_type,linked_award_ids,award_count,keywords,formatted_nlm
PUB-SYN-001,90000001,10.55555/syn-jab-2023-0142,Genomic surveillance identifies population structure in Dagonichthys profundus across R'lyeh Trench vent sites,3,mcnerdface_nerdy; Whateley L; Westmoreland H,J Abyssal Biol,2023,18,3,412-429,research_article,AWARD-SYN-001,1,population genomics; Dagonichthys profundus; hydrothermal vent; deep-sea fish,"McNerdface ND, Whateley L, Westmoreland H. Genomic surveillance identifies population structure in Dagonichthys profundus across R'lyeh Trench vent sites. J Abyssal Biol. 2023;18(3):412-429. doi:10.55555/syn-jab-2023-0142. PMID: 90000001."
PUB-SYN-002,90000002,10.55555/syn-jsv-2022-0088,Representing the spatial and temporal dynamics of abyssal fish behavior with an interactive simulation,2,mcnerdface_nerdy; Mason-Bishop K,J Simulat Visual,2022,9,1,55-71,research_article,,0,simulation; visualization; abyssal fish behavior; game-based environments,"McNerdface ND, Mason-Bishop K. Representing the spatial and temporal dynamics of abyssal fish behavior with an interactive simulation. J Simulat Visual. 2022;9(1):55-71. doi:10.55555/syn-jsv-2022-0088. PMID: 90000002."
PUB-SYN-003,90000003,10.55555/syn-bng-2017-0034,Neural network architectures for predicting behavioral syndromes from transcriptomic data,4,mcnerdface_nerdy; Whateley L; Mason-Bishop K; Westmoreland H,Behav Neurogen,2017,4,2,189-208,research_article,,0,machine learning; transcriptomics; behavioral syndromes; neural networks,"McNerdface ND, Whateley L, Mason-Bishop K, Westmoreland H. Neural network architectures for predicting behavioral syndromes from transcriptomic data. Behav Neurogen. 2017;4(2):189-208. doi:10.55555/syn-bng-2017-0034. PMID: 90000003."
PUB-SYN-004,90000004,10.55555/syn-dsg-2025-0211,Developmental transcriptomics of ring-shaped bioluminescent organs in Dagonichthys profundus,2,frodo-underhill; mcnerdface_nerdy,Deep Sea Genomics,2025,7,1,1-22,research_article,AWARD-SYN-001,1,bioluminescence; developmental genetics; Dagonichthys profundus; transcriptomics,"Underhill FB, McNerdface ND. Developmental transcriptomics of ring-shaped bioluminescent organs in Dagonichthys profundus. Deep Sea Genomics. 2025;7(1):1-22. doi:10.55555/syn-dsg-2025-0211. PMID: 90000004."
PUB-SYN-005,90000005,10.55555/syn-dsg-2024-0103,A curated reference dataset for abyssal fish behavioral genomics,3,frodo-underhill; Whateley L; mcnerdface_nerdy,Deep Sea Genomics,2024,6,4,301-315,data_descriptor,AWARD-SYN-001,1,reference dataset; data curation; behavioral genomics; abyssal fish,"Underhill FB, Whateley L, McNerdface ND. A curated reference dataset for abyssal fish behavioral genomics. Deep Sea Genomics. 2024;6(4):301-315. doi:10.55555/syn-dsg-2024-0103. PMID: 90000005."
PUB-SYN-006,90000006,10.55555/syn-jab-2025-0301,Pressure-dependent gene expression plasticity in Dagonichthys profundus: implications for depth-mediated behavioral variation,3,mcnerdface_nerdy; frodo-underhill; Whateley L,J Abyssal Biol,2025,20,1,88-107,research_article,AWARD-SYN-001,1,gene expression; phenotypic plasticity; deep-sea biology; hydrostatic pressure,"McNerdface ND, Underhill FB, Whateley L. Pressure-dependent gene expression plasticity in Dagonichthys profundus: implications for depth-mediated behavioral variation. J Abyssal Biol. 2025;20(1):88-107. doi:10.55555/syn-jab-2025-0301. PMID: 90000006."
PUB-SYN-010,90000010,10.55555/syn-ma-2025-0078,Who goes there? A revised molecular framework for organism authentication in polymorphic extremophile communities,3,rj-macready; blair-copper; bennings-clark,Mol Authenticity,2025,3,1,1-19,review_article,AWARD-SYN-002; AWARD-SYN-008,2,organism authentication; phenotypic mimicry; extremophiles; molecular framework,"MacReady RJ, Copper BA, Clark BN. Who goes there? A revised molecular framework for organism authentication in polymorphic extremophile communities. Mol Authenticity. 2025;3(1):1-19. doi:10.55555/syn-ma-2025-0078. PMID: 90000010."
PUB-SYN-011,90000011,10.55555/syn-am-2024-0156,Machine learning classifiers for real-time identification of Thingium assimilans mimics in mixed polar biofilms,3,windows-fuchs; bennings-clark; rj-macready,Antarct Microbiol,2024,11,2,201-218,research_article,AWARD-SYN-002,1,machine learning; Thingium assimilans; biofilm identification; polar microbiology,"Fuchs WP, Clark BN, MacReady RJ. Machine learning classifiers for real-time identification of Thingium assimilans mimics in mixed polar biofilms. Antarct Microbiol. 2024;11(2):201-218. doi:10.55555/syn-am-2024-0156. PMID: 90000011."
PUB-SYN-012,90000012,10.55555/syn-fbm-2023-0044,The blood test protocol: PCR-based cellular authentication for field deployment in Antarctic research stations,3,rj-macready; blair-copper; Garry NT,Field Biosecur Methods,2023,5,4,312-328,research_article,AWARD-SYN-008,1,PCR; cellular authentication; field methods; Antarctic biosecurity,"MacReady RJ, Copper BA, Garry NT. The blood test protocol: PCR-based cellular authentication for field deployment in Antarctic research stations. Field Biosecur Methods. 2023;5(4):312-328. doi:10.55555/syn-fbm-2023-0044. PMID: 90000012."
PUB-SYN-013,90000013,10.55555/syn-per-2019-0023,First complete genome assembly of Thingium assimilans reveals mosaic architecture with host-derived genomic islands,4,rj-macready; blair-copper; Van Bergen F; Garry NT,Polar Extremophile Res,2019,6,1,1-34,research_article,,0,genome assembly; Thingium assimilans; genomic islands; horizontal gene transfer,"MacReady RJ, Copper BA, Van Bergen F, Garry NT. First complete genome assembly of Thingium assimilans reveals mosaic architecture with host-derived genomic islands. Polar Extremophile Res. 2019;6(1):1-34. doi:10.55555/syn-per-2019-0023. PMID: 90000013."
PUB-SYN-014,90000014,10.55555/syn-per-2017-0011,The hot wire assay: a rapid phenotypic screen for cellular authenticity in extremophile isolates,2,rj-macready; Garry NT,Polar Extremophile Res,2017,4,3,188-197,methods_article,,0,hot wire assay; phenotypic screening; extremophile authentication; methods,"MacReady RJ, Garry NT. The hot wire assay: a rapid phenotypic screen for cellular authenticity in extremophile isolates. Polar Extremophile Res. 2017;4(3):188-197. doi:10.55555/syn-per-2017-0011. PMID: 90000014."
PUB-SYN-015,90000015,10.55555/syn-fbm-2025-0091,Standardized contamination detection kits for polar field stations: validation across six Antarctic and Arctic sites,3,bennings-clark; blair-copper; rj-macready,Field Biosecur Methods,2025,7,1,45-62,research_article,AWARD-SYN-002; AWARD-SYN-008,2,contamination detection; field kits; polar stations; validation,"Clark BN, Copper BA, MacReady RJ. Standardized contamination detection kits for polar field stations: validation across six Antarctic and Arctic sites. Field Biosecur Methods. 2025;7(1):45-62. doi:10.55555/syn-fbm-2025-0091. PMID: 90000015."
PUB-SYN-016,90000016,10.55555/syn-am-2023-0078,Computational pipelines for distinguishing genuine horizontal gene transfer from Thingium-mediated protein mimicry,2,windows-fuchs; rj-macready,Antarct Microbiol,2023,10,4,389-402,research_article,AWARD-SYN-002,1,horizontal gene transfer; protein mimicry; bioinformatics; Thingium assimilans,"Fuchs WP, MacReady RJ. Computational pipelines for distinguishing genuine horizontal gene transfer from Thingium-mediated protein mimicry. Antarct Microbiol. 2023;10(4):389-402. doi:10.55555/syn-am-2023-0078. PMID: 90000016."
PUB-SYN-020,90000020,10.55555/syn-afe-2025-0188,Millennial-scale persistence of mycorrhizal signaling architecture in Fangornium sylvaticum networks,4,radagast-brownleaf; gandalf-greyhame; legolas-greenwood; Fangorn T,Anc Forest Ecol,2025,12,1,1-28,research_article,AWARD-SYN-003,1,mycorrhizal networks; Fangornium sylvaticum; signaling persistence; ancient forests,"Brownleaf RT, Greyhame GI, Greenwood LA, Fangorn T. Millennial-scale persistence of mycorrhizal signaling architecture in Fangornium sylvaticum networks. Anc Forest Ecol. 2025;12(1):1-28. doi:10.55555/syn-afe-2025-0188. PMID: 90000020."
PUB-SYN-021,90000021,10.55555/syn-mn-2024-0067,Hyperspectral detection of coordinated defense pulses in connected old-growth canopies,3,radagast-brownleaf; Sorrell A; legolas-greenwood,Mycorrhizal Netw,2024,8,3,156-174,research_article,AWARD-SYN-003,1,hyperspectral imaging; defense signaling; old-growth canopy; remote sensing,"Brownleaf RT, Sorrell A, Greenwood LA. Hyperspectral detection of coordinated defense pulses in connected old-growth canopies. Mycorrhizal Netw. 2024;8(3):156-174. doi:10.55555/syn-mn-2024-0067. PMID: 90000021."
PUB-SYN-022,90000022,10.55555/syn-dl-2023-0045,Ent-ological modeling: simulating deliberation dynamics in long-lived tree networks,2,radagast-brownleaf; Lothlorien S,Dendroecol Lett,2023,15,2,88-103,research_article,,0,ent-ological modeling; deliberation dynamics; tree networks; computational ecology,"Brownleaf RT, Lothlorien S. Ent-ological modeling: simulating deliberation dynamics in long-lived tree networks. Dendroecol Lett. 2023;15(2):88-103. doi:10.55555/syn-dl-2023-0045. PMID: 90000022."
PUB-SYN-023,90000023,10.55555/syn-mn-2021-0012,Root exudate vocabularies: a chemical lexicon for inter-tree communication,3,radagast-brownleaf; Fangorn T; Sorrell A,Mycorrhizal Netw,2021,5,1,34-52,research_article,,0,root exudates; chemical signaling; inter-tree communication; mycorrhizal ecology,"Brownleaf RT, Fangorn T, Sorrell A. Root exudate vocabularies: a chemical lexicon for inter-tree communication. Mycorrhizal Netw. 2021;5(1):34-52. doi:10.55555/syn-mn-2021-0012. PMID: 90000023."
PUB-SYN-024,90000024,10.55555/syn-afe-2010-0003,"First characterization of Fangornium sylvaticum sp. nov., an ancient mycorrhizal-tree symbiont complex from Pacific Northwest old-growth forests",2,radagast-brownleaf; gandalf-greyhame,Anc Forest Ecol,2010,1,1,1-18,species_description,,0,species description; Fangornium sylvaticum; mycorrhizal symbiosis; old-growth forests,"Brownleaf RT, Greyhame GI. First characterization of Fangornium sylvaticum sp. nov., an ancient mycorrhizal-tree symbiont complex from Pacific Northwest old-growth forests. Anc Forest Ecol. 2010;1(1):1-18. doi:10.55555/syn-afe-2010-0003. PMID: 90000024."
PUB-SYN-025,90000025,10.55555/syn-afe-2025-0214,Sub-centimeter LiDAR point clouds predict mycorrhizal network density from canopy connectivity indices,3,legolas-greenwood; Sorrell A; radagast-brownleaf,Anc Forest Ecol,2025,12,2,112-128,research_article,AWARD-SYN-003,1,LiDAR; canopy connectivity; mycorrhizal density; remote sensing,"Greenwood LA, Sorrell A, Brownleaf RT. Sub-centimeter LiDAR point clouds predict mycorrhizal network density from canopy connectivity indices. Anc Forest Ecol. 2025;12(2):112-128. doi:10.55555/syn-afe-2025-0214. PMID: 90000025."
PUB-SYN-026,90000026,10.55555/syn-afe-2015-0009,Molecular clock calibration for ancient fungal lineages using amber-preserved mycorrhizal fossils,2,gandalf-greyhame; radagast-brownleaf,Anc Forest Ecol,2015,4,1,23-41,research_article,,0,molecular clock; amber fossils; mycorrhizal evolution; deep time,"Greyhame GI, Brownleaf RT. Molecular clock calibration for ancient fungal lineages using amber-preserved mycorrhizal fossils. Anc Forest Ecol. 2015;4(1):23-41. doi:10.55555/syn-afe-2015-0009. PMID: 90000026."
