proposal_id,proposal_number,proposal_title,pi_persona_id,sponsor,sponsor_code,rfa_number,proposal_category,proposal_action_type,prior_proposal_id,project_type_code,campus_type,campus_location,proposed_start_date,proposed_end_date,submission_deadline,total_proposed_direct,total_proposed_indirect,total_proposed_budget,internal_approval_status,decision_status,decision_date,compliance_iacuc_required,compliance_irb_required,compliance_ibc_required,compliance_sfi_disclosure_required,compliance_rcr_training_certified,compliance_export_control,pi_id,team_size,budget_period_count,export_control_notes,notes,expected_decision_date,parent_award_id
PROP-SYN-001,P-24-1001,Eradicating Misconceptions about Abyssal Organisms using Game-based Environments,mcnerdface_nerdy,NIH,NIH,PAR-24-099,full,resubmission,PROP-SYN-101,research,on_campus,moscow,2024-09-01,2028-08-31,2024-06-05,870388.0,435194.0,1305582.0,Approved,Awarded,2024-07-15,True,False,False,True,True,False,mcnerdface_nerdy,2,4,,,,
PROP-SYN-002,P-24-1002,Molecular mechanisms of cellular identity subversion in Thingium assimilans,rj-macready,NIH,NIH,PA-24-182,full,new,,research,on_campus,moscow,2024-09-01,2028-08-31,2024-06-05,1600000.0,800000.0,2400000.0,Approved,Awarded,2024-07-20,False,False,True,True,True,False,rj-macready,4,4,,,,
PROP-SYN-003,P-24-1003,"Network ecology of Fangornium sylvaticum: signaling, resource sharing, and collective defense in ancient forests",radagast-brownleaf,NSF,NSF,NSF-24-567,full,new,,research,on_campus,moscow,2024-09-01,2028-08-31,2024-07-22,1400000.0,700000.0,2100000.0,Approved,Awarded,2024-08-01,False,False,False,True,True,False,radagast-brownleaf,3,,,,,
PROP-SYN-004,P-24-1004,Adaptive bilingual nutrition support pathways for rural maternal health,iris-velasquez,NIH,NIH,PAR-24-210,full,new,,research,on_campus,moscow,2024-09-01,2028-08-31,2024-06-05,1080000.0,540000.0,1620000.0,Approved,Awarded,2024-07-25,False,True,False,True,True,False,iris-velasquez,1,,,,,
PROP-SYN-005,P-24-1005,Antarctic extremophile authentication: field-deployable molecular tools for polar biosecurity,rj-macready,NSF,NSF,NSF-OPP-24-001,full,new,,research,on_campus,moscow,2024-01-01,2027-12-31,2023-10-15,1100000.0,550000.0,1650000.0,Approved,Awarded,2023-11-20,False,False,True,True,True,False,rj-macready,2,,,,,
PROP-SYN-006,P-24-1006,Next-generation mithril-analog composites for lightweight personnel protection systems,eowyn-rohirrim,DOD,DOD,DARPA-BAA-24-33,full,new,,research,on_campus,moscow,2024-10-01,2027-09-30,2024-07-15,1200000.0,600000.0,1800000.0,Approved,Awarded,2024-09-15,False,False,False,True,True,True,eowyn-rohirrim,2,,ITAR-controlled materials research; requires Technology Control Plan,,,
PROP-SYN-007,P-24-1007,Trustworthy campus-scale assistants for research lifecycle intelligence,ashford_malik,NSF,NSF,NSF-OAC-24-512,full,new,,research,on_campus,moscow,2024-09-01,2028-08-31,2024-06-17,1233334.0,616666.0,1850000.0,Approved,Awarded,2024-08-05,False,False,False,True,True,False,ashford_malik,3,4,,,,
PROP-SYN-008,P-24-1008,Open digital twins for sediment and flood resilience in working watersheds,quillstone_juniper,NSF,NSF,NSF-EAR-24-588,full,new,,research,on_campus,moscow,2024-09-01,2028-08-31,2024-07-08,786667.0,393333.0,1180000.0,Approved,Awarded,2024-08-10,False,False,False,True,True,False,quillstone_juniper,2,4,,,,
PROP-SYN-101,P-23-0901,Neurogenomic foundations of behavioral syndrome architecture in the abyssal Dagon fish (Dagonichthys profundus),mcnerdface_nerdy,NIH,NIH,PA-23-199,full,new,,research,on_campus,moscow,2024-01-01,2028-12-31,2023-06-05,1700000.0,850000.0,2550000.0,Approved,Declined,2023-11-15,True,False,False,True,True,False,mcnerdface_nerdy,2,5,,Resubmitted as PROP-SYN-001 in 2024 after incorporating preliminary transcriptomic pilot data and statistical power analyses requested by the study section.,,
PROP-SYN-102,P-24-0516,Rapid field-deployable molecular assay for cellular identity aberration in extremophile cultures,rj-macready,NIH,NIH,PAR-24-192,full,new,,research,on_campus,moscow,2024-09-01,2026-08-31,2024-02-16,275000.0,137500.0,412500.0,Approved,Declined,2024-07-01,False,False,True,True,True,False,rj-macready,2,2,,,,
